,Slot of Booking (Hour of the Day),90_days_repeat,Days_between_booking_service,Source_B,Source_C,Source_D
149,12,0,3,0,0,0
150,7,0,1,0,0,1
151,12,0,5,0,1,0
152,7,0,2,1,0,0
153,15,0,5,0,1,0
154,6,0,2,0,1,0
155,13,0,5,0,0,0
156,14,0,4,0,0,0
157,13,0,2,1,0,0
158,6,0,2,0,0,1
159,16,0,1,0,1,0
160,14,0,5,0,0,1
161,10,0,3,0,1,0
162,17,0,0,1,0,0
163,15,0,4,1,0,0
164,13,0,1,1,0,0
165,13,0,3,0,0,0
166,13,0,5,0,1,0
167,13,0,5,1,0,0
168,9,0,1,1,0,0
169,18,0,3,0,0,1
170,14,0,2,0,1,0
171,17,0,1,0,1,0
172,14,0,1,0,0,0
173,10,0,1,0,0,1
174,11,1,0,0,0,1
175,19,1,3,0,0,0
176,14,0,4,0,0,1
177,11,0,2,0,0,0
178,11,1,0,0,0,1
179,13,1,2,0,0,0
180,8,0,4,1,0,0
181,11,0,5,1,0,0
182,14,0,4,1,0,0
183,6,0,5,0,0,1
184,13,0,0,0,0,0
185,19,0,4,1,0,0
186,13,0,1,0,1,0
187,14,0,0,0,0,0
188,12,0,0,0,0,1
189,14,0,1,0,0,0
190,14,0,3,1,0,0
191,14,0,4,0,0,0
192,8,0,2,0,1,0
193,6,0,4,1,0,0
194,16,0,1,1,0,0
195,14,0,5,0,1,0
196,14,1,1,0,1,0
197,7,1,0,0,1,0
198,18,1,2,0,0,0
199,18,0,1,1,0,0
200,14,0,1,0,1,0
201,13,0,1,1,0,0
202,17,0,2,0,1,0
203,14,0,2,1,0,0
204,14,1,3,1,0,0
205,14,1,1,1,0,0
206,18,1,4,1,0,0
207,14,0,1,0,0,0
208,14,0,4,0,1,0
209,7,0,2,0,0,1
210,6,0,3,0,1,0
211,8,0,4,0,1,0
212,14,0,2,1,0,0
213,17,0,0,0,0,1
214,13,0,3,0,0,0
215,13,1,0,0,0,1
216,14,1,4,0,0,1
217,12,1,0,1,0,0
218,17,1,1,0,1,0
219,12,0,4,1,0,0
220,15,0,2,1,0,0
221,16,0,5,0,0,0
222,10,0,2,0,1,0
223,17,1,3,0,1,0
224,13,1,4,0,1,0
225,10,1,1,0,1,0
226,8,1,1,1,0,0
227,14,0,4,0,1,0
228,14,0,0,0,0,1
229,17,0,5,0,0,1
230,14,0,2,1,0,0
231,16,0,3,0,1,0
232,13,1,3,0,1,0
233,14,1,5,0,0,1
234,11,0,0,0,1,0
235,10,0,5,0,0,1
236,15,0,4,0,0,1
237,6,0,2,1,0,0
238,14,0,1,0,0,0
239,14,1,5,0,0,1
240,14,1,3,0,1,0
241,14,1,1,1,0,0
242,12,1,2,0,1,0
243,14,1,5,0,0,0
244,14,1,1,0,0,0
245,17,1,3,0,0,1
246,14,0,0,0,0,0
247,10,0,5,0,1,0
248,8,0,1,0,1,0
249,10,0,5,0,0,0
250,17,0,3,0,1,0
251,14,0,1,0,0,0
252,7,0,2,0,1,0
253,14,0,2,0,0,1
254,14,0,0,0,1,0
255,9,0,1,0,1,0
256,19,0,2,1,0,0
257,14,1,1,1,0,0
258,9,1,0,0,1,0
259,19,0,1,0,1,0
260,17,0,2,0,1,0
261,14,0,3,0,1,0
262,10,0,5,0,1,0
263,6,0,5,1,0,0
264,13,1,4,0,0,1
265,16,1,5,0,1,0
266,14,0,1,0,0,1
267,11,0,1,1,0,0
268,14,0,4,0,0,0
269,14,1,5,0,0,0
270,13,1,2,0,0,0
271,6,1,5,0,0,1
272,14,1,1,0,1,0
273,7,1,5,0,0,0
274,17,1,1,1,0,0
275,14,1,1,1,0,0
276,14,0,2,1,0,0
277,8,0,2,1,0,0
278,17,0,3,0,1,0
279,15,1,5,1,0,0
280,16,1,0,0,1,0
281,17,0,1,1,0,0
282,14,1,0,0,1,0
283,14,1,4,1,0,0
284,14,1,5,0,0,1
285,13,1,1,0,0,0
286,14,0,5,1,0,0
287,17,0,1,0,1,0
288,12,0,1,0,0,1
289,7,0,1,1,0,0
290,16,0,5,0,1,0
291,14,0,5,0,1,0
292,11,0,1,0,0,1
293,14,0,1,1,0,0
294,14,0,5,0,1,0
295,9,0,3,1,0,0
296,13,0,4,0,1,0
297,10,1,0,0,1,0
298,18,1,0,0,0,1
299,14,1,1,1,0,0
300,8,0,4,1,0,0
301,14,0,0,0,0,1
302,6,0,2,0,1,0
303,18,0,5,0,1,0
304,16,0,2,0,1,0
305,14,0,2,0,1,0
306,14,0,3,0,1,0
307,14,0,2,1,0,0
308,14,0,4,0,0,1
309,11,0,4,0,0,0
310,8,0,3,0,1,0
311,14,1,1,1,0,0
312,18,1,2,1,0,0
313,19,0,1,0,1,0
314,14,0,0,0,0,1
315,7,0,3,0,0,1
316,14,0,0,1,0,0
317,13,0,0,0,1,0
318,15,0,1,0,1,0
319,7,0,1,0,0,0
320,6,0,1,0,0,1
321,10,1,1,0,1,0
322,14,1,1,0,0,1
323,15,1,2,0,0,1
324,14,1,2,0,0,1
325,13,1,3,0,0,1
326,7,1,3,1,0,0
327,13,0,1,0,1,0
328,13,0,5,1,0,0
329,13,0,2,0,1,0
330,14,0,0,1,0,0
331,7,0,5,0,1,0
332,13,0,5,1,0,0
333,14,1,4,0,1,0
334,12,1,3,0,1,0
335,16,0,3,0,0,0
336,14,0,1,0,0,1
337,15,0,0,0,1,0
338,14,1,2,0,0,0
339,14,1,2,1,0,0
340,14,1,2,0,0,1
341,8,1,2,0,1,0
342,13,1,1,0,0,1
343,8,1,2,0,0,1
344,9,1,1,0,0,1
345,13,1,0,0,0,1
346,19,1,4,0,1,0
347,13,1,3,0,0,1
348,14,1,4,0,1,0
349,14,1,1,0,1,0
350,8,1,5,0,1,0
351,13,1,2,0,0,0
352,14,1,0,0,1,0
353,14,1,1,0,1,0
354,14,1,2,0,0,0
355,12,1,3,1,0,0
356,17,1,5,0,0,1
357,13,1,3,1,0,0
358,18,0,1,1,0,0
359,8,1,5,1,0,0
360,14,1,0,0,0,1
361,14,0,4,0,1,0
362,13,0,3,1,0,0
363,11,0,2,0,1,0
364,13,0,1,0,1,0
365,14,1,3,1,0,0
366,14,1,3,0,0,1
367,17,0,2,1,0,0
368,14,0,1,0,1,0
369,14,0,4,0,1,0
370,14,0,0,0,0,1
371,13,0,1,0,0,1
372,7,0,4,0,1,0
373,13,0,0,1,0,0
374,19,0,2,0,1,0
375,14,0,5,0,1,0
376,14,0,1,0,0,0
377,18,0,4,0,0,0
378,14,1,4,0,0,1
379,13,1,5,0,0,1
380,13,0,0,1,0,0
381,10,0,2,1,0,0
382,13,0,3,0,1,0
383,13,0,4,0,0,0
384,14,0,1,1,0,0
385,14,0,5,0,1,0
386,13,0,1,0,1,0
387,12,0,3,0,0,1
388,17,0,4,1,0,0
389,8,0,0,1,0,0
390,14,1,4,0,0,1
391,7,1,4,0,0,0
392,14,1,3,0,0,1
393,14,1,2,1,0,0
394,14,1,4,0,0,1
395,11,1,5,0,1,0
396,14,1,3,0,0,0
397,12,0,5,0,1,0
398,17,0,4,0,0,1
399,11,0,1,0,0,0
400,14,1,2,0,1,0
401,13,1,4,1,0,0
402,14,1,0,1,0,0
403,14,1,5,0,1,0
404,14,1,1,1,0,0
405,13,1,5,1,0,0
406,8,1,3,1,0,0
407,11,0,0,0,1,0
408,17,0,2,1,0,0
409,15,0,4,0,1,0
410,14,0,5,1,0,0
411,13,0,0,0,0,1
412,14,0,1,0,0,1
413,6,0,1,0,0,1
414,13,0,3,0,1,0
415,16,0,3,0,1,0
416,14,0,3,1,0,0
417,14,0,1,0,1,0
418,18,0,1,0,1,0
419,14,0,2,0,1,0
420,19,0,2,0,0,1
421,12,0,3,0,0,1
422,14,0,3,0,0,0
423,14,0,1,1,0,0
424,14,0,4,0,1,0
425,14,0,3,0,1,0
426,13,0,5,0,1,0
427,14,0,0,0,1,0
428,14,1,1,0,1,0
429,14,1,0,1,0,0
430,14,1,4,1,0,0
431,12,1,4,0,0,1
432,7,1,0,0,0,0
433,18,1,4,0,1,0
434,7,1,1,0,0,0
435,13,1,1,1,0,0
436,8,1,2,0,1,0
437,17,1,3,0,0,1
438,13,1,1,0,0,0
439,14,1,4,0,1,0
440,18,1,2,0,0,1
441,12,1,2,1,0,0
442,14,1,4,0,1,0
443,19,1,1,0,0,0
444,14,1,5,0,1,0
445,13,0,5,1,0,0
446,19,0,0,1,0,0
447,15,0,5,1,0,0
448,13,1,1,0,1,0
449,12,1,0,0,0,0
450,15,1,1,0,0,0
451,18,0,4,0,0,1
452,13,0,1,1,0,0
453,13,0,1,0,0,1
454,12,0,2,0,1,0
455,14,0,4,0,0,1
456,9,0,1,0,0,1
457,14,0,4,1,0,0
458,19,0,0,1,0,0
459,14,0,5,0,1,0
460,6,0,0,1,0,0
461,17,0,2,0,0,0
462,19,0,1,0,1,0
463,16,0,3,0,0,1
464,14,0,0,1,0,0
465,11,0,5,0,0,1
466,13,0,0,0,1,0
467,18,1,3,0,0,1
468,8,1,1,0,1,0
469,14,1,5,0,0,1
470,14,0,1,0,0,1
471,14,1,2,1,0,0
472,14,1,3,0,0,0
473,11,1,0,0,0,1
474,14,1,5,0,0,0
475,13,1,2,0,0,0
476,19,1,5,0,0,0
477,12,1,4,1,0,0
478,14,1,3,0,1,0
479,14,1,3,0,0,1
480,12,1,5,0,0,0
481,10,1,3,0,1,0
482,14,1,0,0,0,1
483,16,1,2,0,0,0
484,14,0,0,0,1,0
485,14,0,4,1,0,0
486,13,0,0,0,0,1
487,8,0,0,0,0,1
488,13,0,0,1,0,0
489,13,0,5,0,0,1
490,14,0,2,1,0,0
491,9,0,2,0,1,0
492,15,0,1,0,0,0
493,9,0,5,1,0,0
494,14,0,4,0,0,1
495,14,0,1,0,0,0
496,14,0,5,0,0,1
497,13,0,4,0,0,1
498,6,0,5,0,1,0
499,12,0,3,0,0,1
500,14,0,3,0,0,1
501,15,0,1,1,0,0
502,14,0,3,0,1,0
503,14,1,5,0,0,1
504,18,1,2,0,1,0
505,13,0,1,0,0,1
506,19,1,5,0,0,0
507,14,1,5,0,0,1
508,6,0,0,0,1,0
509,10,0,2,1,0,0
510,14,0,1,0,1,0
511,11,0,4,1,0,0
512,10,0,5,0,1,0
513,14,0,0,0,0,1
514,14,0,2,1,0,0
515,19,0,1,0,0,0
516,15,0,1,0,0,1
517,11,0,3,1,0,0
518,18,0,0,0,1,0
519,14,0,5,0,1,0
520,14,0,1,0,1,0
521,17,0,3,1,0,0
522,11,0,2,0,0,1
523,14,0,5,1,0,0
524,12,0,5,0,1,0
525,18,0,0,0,0,1
526,15,0,3,0,1,0
527,18,0,5,0,1,0
528,14,0,4,1,0,0
529,9,0,3,0,1,0
530,14,0,3,0,1,0
531,19,0,3,0,0,1
532,13,0,2,0,0,0
533,12,0,2,0,1,0
534,14,0,2,0,1,0
535,14,1,2,0,0,1
536,17,1,2,1,0,0
537,14,0,4,0,0,1
538,14,0,4,0,0,1
539,14,1,2,0,0,1
540,19,1,3,0,0,1
541,13,1,1,0,0,1
542,14,0,0,0,0,1
543,15,0,1,1,0,0
544,10,0,3,1,0,0
545,11,0,4,0,1,0
546,14,1,3,1,0,0
547,14,1,5,0,1,0
548,18,1,2,1,0,0
549,10,1,0,1,0,0
550,13,0,5,0,1,0
551,14,0,0,0,0,1
552,14,1,5,1,0,0
553,13,1,4,0,0,1
554,18,1,5,0,1,0
555,13,1,4,1,0,0
556,14,0,4,0,0,1
557,6,0,4,1,0,0
558,9,0,4,0,1,0
559,14,0,5,1,0,0
560,8,0,5,0,0,1
561,15,0,4,0,0,1
562,14,0,2,1,0,0
563,7,1,1,0,1,0
564,14,1,1,0,0,1
565,7,1,2,1,0,0
566,16,1,2,0,0,1
567,11,0,4,0,1,0
568,14,0,5,0,0,1
569,10,0,5,0,0,0
570,16,1,3,0,1,0
571,11,1,0,0,0,1
572,13,1,4,1,0,0
573,10,1,5,0,1,0
574,14,1,1,0,0,1
575,11,1,2,0,1,0
576,13,1,1,0,0,1
577,14,1,1,0,0,0
578,14,1,3,1,0,0
579,12,0,1,0,1,0
580,7,0,2,0,1,0
581,14,0,0,0,1,0
582,9,0,1,0,1,0
583,13,0,2,0,0,1
584,14,0,2,0,1,0
585,17,0,5,0,1,0
586,10,0,5,0,1,0
587,13,0,4,1,0,0
588,18,0,2,0,1,0
589,14,1,4,0,1,0
590,14,1,5,0,1,0
591,14,0,3,0,0,0
592,14,0,2,1,0,0
593,14,0,5,0,1,0
594,14,0,1,0,1,0
595,9,1,2,0,1,0
596,14,1,2,0,0,0
597,13,1,3,1,0,0
598,15,0,5,1,0,0
599,10,0,3,0,1,0
600,14,0,1,0,1,0
601,17,0,0,1,0,0
602,14,0,5,0,1,0
603,8,0,5,0,1,0
604,14,0,2,0,1,0
605,12,0,3,0,0,0
606,14,0,5,1,0,0
607,11,1,1,0,0,0
608,18,1,3,0,1,0
609,9,0,2,0,1,0
610,14,0,2,1,0,0
611,12,0,0,0,0,1
612,14,1,4,0,0,0
613,11,1,1,1,0,0
614,13,0,3,1,0,0
615,11,0,2,1,0,0
616,14,0,1,0,0,0
617,13,0,1,0,0,1
618,16,0,4,0,1,0
619,10,0,0,0,0,0
620,15,0,4,1,0,0
621,12,1,1,0,1,0
622,12,1,0,0,1,0
623,15,1,1,1,0,0
624,15,0,5,0,0,0
625,6,0,4,1,0,0
626,13,0,4,1,0,0
627,15,0,4,0,0,1
628,14,0,4,0,0,1
629,17,0,4,0,0,1
630,13,0,0,0,1,0
631,14,1,5,0,0,1
632,15,1,2,1,0,0
633,14,0,3,0,0,1
634,17,0,5,0,0,0
635,14,1,1,1,0,0
636,17,1,3,1,0,0
637,14,0,5,0,0,0
638,13,0,1,1,0,0
639,14,0,1,0,1,0
640,13,0,3,0,0,1
641,14,0,5,0,1,0
642,13,0,1,0,0,0
643,13,0,0,0,1,0
644,11,0,5,0,0,1
645,14,1,2,0,0,1
646,17,1,0,1,0,0
647,10,1,4,1,0,0
648,10,1,4,0,1,0
649,14,0,1,0,1,0
650,14,0,3,0,1,0
651,12,0,2,1,0,0
652,13,0,3,0,0,0
653,14,0,3,0,1,0
654,8,0,3,1,0,0
655,16,0,1,0,0,0
656,13,1,5,0,1,0
657,14,1,0,0,0,0
658,18,1,5,0,0,0
659,7,1,5,0,1,0
660,14,0,4,0,0,1
661,8,0,0,0,0,1
662,16,0,1,0,0,0
663,12,0,3,0,0,1
664,9,0,5,1,0,0
665,18,0,3,1,0,0
666,12,0,3,1,0,0
667,14,1,4,0,0,1
668,14,1,1,0,0,1
669,14,1,3,0,0,0
670,13,1,2,0,0,1
671,11,1,5,0,1,0
672,14,1,2,0,0,1
673,14,1,2,1,0,0
674,14,1,1,0,0,1
675,13,1,3,0,1,0
676,16,1,3,0,0,1
677,15,1,0,0,1,0
678,14,1,5,0,1,0
679,18,1,5,0,1,0
680,10,1,3,1,0,0
681,19,1,2,0,1,0
682,8,1,4,1,0,0
683,14,1,0,0,0,1
684,10,1,4,0,0,1
685,14,1,0,0,1,0
686,14,1,4,1,0,0
687,14,1,3,0,0,1
688,16,0,3,0,1,0
689,13,0,5,0,1,0
690,14,0,0,1,0,0
691,10,0,0,0,0,0
692,14,0,3,0,1,0
693,18,0,5,0,0,1
694,11,0,3,0,0,1
695,8,0,1,0,0,1
696,14,0,3,0,1,0
697,14,1,4,1,0,0
698,14,1,0,0,0,0
699,19,0,4,1,0,0
700,14,0,3,0,0,0
701,14,0,1,0,0,1
702,9,0,5,0,0,0
703,19,0,1,0,0,1
704,14,1,0,0,0,0
705,14,1,3,1,0,0
706,13,1,5,0,0,1
707,14,1,0,1,0,0
708,7,1,0,1,0,0
709,14,1,3,0,1,0
710,15,0,4,0,1,0
711,10,0,1,0,0,1
712,14,0,2,0,1,0
713,6,0,3,1,0,0
714,16,0,2,0,1,0
715,14,1,3,1,0,0
716,14,1,5,1,0,0
717,15,1,5,1,0,0
718,14,1,0,0,0,0
719,14,1,2,0,0,0
720,13,1,5,0,1,0
721,8,0,1,1,0,0
722,14,0,2,0,0,1
723,19,0,3,0,0,0
724,8,0,2,1,0,0
725,14,0,5,0,1,0
726,19,0,3,0,0,1
727,12,1,3,1,0,0
728,14,1,2,0,1,0
729,11,0,1,0,0,0
730,17,0,4,1,0,0
731,17,0,5,0,0,0
732,14,0,5,0,1,0
733,14,0,3,1,0,0
734,14,0,5,0,0,1
735,14,0,1,1,0,0
736,13,0,4,0,0,0
737,14,0,3,0,0,0
738,14,0,1,0,1,0
739,14,0,4,1,0,0
740,17,0,2,1,0,0
741,14,0,3,1,0,0
742,17,0,2,0,1,0
743,18,0,0,0,1,0
744,14,0,0,1,0,0
745,14,0,4,0,1,0
746,14,0,0,0,0,1
747,16,0,1,0,1,0
748,14,0,2,0,1,0
749,14,0,3,1,0,0
750,13,0,4,0,0,1
751,18,0,2,0,1,0
752,14,0,4,1,0,0
753,13,1,0,0,0,1
754,17,1,3,0,1,0
755,15,1,1,0,0,0
756,10,1,5,0,0,1
757,11,1,3,1,0,0
758,14,1,0,0,1,0
759,7,1,0,0,0,0
760,9,1,1,1,0,0
761,14,1,4,0,0,0
762,14,0,5,0,0,1
763,8,0,2,0,1,0
764,14,0,3,0,1,0
765,13,0,0,0,0,1
766,7,0,2,0,1,0
767,8,0,5,0,0,0
768,18,0,3,1,0,0
769,14,0,5,0,0,0
770,6,1,2,0,0,1
771,14,1,1,1,0,0
772,18,1,1,1,0,0
773,14,1,1,0,0,1
774,12,0,2,1,0,0
775,14,0,4,0,0,1
776,13,0,4,1,0,0
777,14,0,4,0,0,1
778,14,0,3,1,0,0
779,18,0,2,0,0,0
780,13,0,1,1,0,0
781,11,0,0,1,0,0
782,14,0,4,0,0,0
783,14,0,3,0,0,1
784,17,0,2,1,0,0
785,8,0,2,0,0,1
786,14,0,5,0,1,0
787,13,0,0,0,1,0
788,11,0,5,0,1,0
789,14,0,0,1,0,0
790,18,0,4,0,1,0
791,13,0,4,0,0,0
792,13,0,3,0,1,0
793,14,0,1,1,0,0
794,17,0,2,0,0,1
795,14,0,2,1,0,0
796,17,0,3,0,1,0
797,8,0,1,1,0,0
798,14,0,2,0,0,1
799,11,0,0,0,0,1
800,8,0,5,0,0,1
801,14,0,4,0,1,0
802,14,0,0,0,0,1
803,14,0,4,1,0,0
804,18,0,0,1,0,0
805,14,1,4,0,1,0
806,14,1,4,0,0,0
807,13,1,3,1,0,0
808,7,1,4,0,1,0
809,16,0,1,0,1,0
810,14,0,0,0,1,0
811,14,0,4,1,0,0
812,14,0,3,0,0,1
813,12,0,2,0,1,0
814,14,0,5,1,0,0
815,19,0,0,0,1,0
816,14,0,2,0,0,0
817,19,0,5,0,0,1
818,14,0,0,1,0,0
819,10,0,2,0,1,0
820,14,1,1,1,0,0
821,16,1,3,0,0,0
822,10,1,1,0,1,0
823,15,0,4,1,0,0
824,18,1,5,0,0,1
825,14,1,1,0,0,1
826,14,0,5,0,1,0
827,16,0,1,0,1,0
828,14,0,3,0,1,0
829,12,0,0,1,0,0
830,14,0,5,1,0,0
831,14,0,1,0,0,1
832,9,0,4,0,1,0
833,15,0,2,0,0,0
834,18,0,3,0,1,0
835,6,0,3,0,1,0
836,13,1,4,0,1,0
837,12,1,4,0,1,0
838,14,1,1,0,0,1
839,14,1,4,1,0,0
840,14,1,4,0,1,0
841,13,1,0,0,0,1
842,12,1,2,0,1,0
843,14,1,2,0,1,0
844,13,1,0,1,0,0
845,14,0,0,0,0,0
846,18,0,5,0,1,0
847,14,0,5,0,0,0
848,14,0,3,0,0,0
849,12,0,1,1,0,0
850,13,0,0,0,1,0
851,13,0,2,0,0,1
852,7,0,3,1,0,0
853,13,0,3,0,1,0
854,15,1,3,0,1,0
855,14,1,4,0,0,1
856,14,1,5,0,1,0
857,15,1,3,0,1,0
858,14,0,1,0,1,0
859,14,0,4,0,1,0
860,13,1,0,0,0,1
861,6,1,4,0,0,0
862,9,1,5,0,0,1
863,14,1,2,0,0,0
864,18,0,3,0,0,0
865,14,0,0,1,0,0
866,14,0,5,1,0,0
867,18,0,5,1,0,0
868,12,1,3,1,0,0
869,14,1,5,0,0,1
870,7,1,4,0,1,0
871,18,1,0,1,0,0
872,13,1,3,0,1,0
873,14,0,2,0,0,1
874,6,0,5,1,0,0
875,13,0,1,0,1,0
876,13,0,4,0,0,1
877,13,0,0,0,1,0
878,14,0,5,1,0,0
879,7,0,4,1,0,0
880,14,0,0,1,0,0
881,14,0,1,1,0,0
882,16,0,2,1,0,0
883,13,0,0,0,0,0
884,14,0,0,0,0,0
885,14,0,5,1,0,0
886,10,0,1,1,0,0
887,14,0,2,0,0,1
888,14,0,2,0,0,0
889,6,0,0,0,1,0
890,6,0,3,1,0,0
891,14,0,0,0,1,0
892,14,1,5,1,0,0
893,10,1,3,0,1,0
894,14,1,5,0,0,0
895,14,0,4,1,0,0
896,16,0,2,1,0,0
897,14,1,5,1,0,0
898,19,1,2,0,1,0
899,13,1,2,0,0,1
900,13,1,5,0,1,0
901,15,1,3,0,0,1
902,19,1,5,0,0,1
903,13,1,0,0,0,0
904,9,1,5,0,1,0
905,9,1,0,0,0,0
906,9,1,5,0,0,1
907,6,1,3,0,1,0
908,19,1,0,0,0,1
909,16,1,1,0,1,0
910,14,1,2,1,0,0
911,11,1,4,0,1,0
912,14,1,4,0,0,0
913,17,1,1,0,0,0
914,6,0,0,0,1,0
915,18,0,2,0,1,0
916,14,1,5,0,1,0
917,9,1,1,1,0,0
918,6,0,2,0,1,0
919,13,0,0,0,1,0
920,14,0,1,0,1,0
921,14,0,4,1,0,0
922,14,0,4,1,0,0
923,17,0,5,1,0,0
924,14,0,5,0,0,1
925,9,0,5,1,0,0
926,11,0,5,0,0,0
927,15,0,1,0,0,1
928,10,0,3,0,0,0
929,9,0,0,0,0,0
930,6,0,4,0,0,1
931,14,0,1,1,0,0
932,7,1,0,0,0,1
933,6,1,3,1,0,0
934,14,1,3,1,0,0
935,14,1,1,0,1,0
936,15,1,1,0,0,0
937,6,1,1,0,0,1
938,11,1,2,0,0,1
939,9,0,4,0,1,0
940,14,0,4,0,1,0
941,15,0,4,1,0,0
942,14,0,4,0,1,0
943,14,0,0,0,0,0
944,8,0,0,0,1,0
945,14,0,5,0,0,1
946,14,0,3,1,0,0
947,14,0,5,1,0,0
948,16,0,1,0,0,1
949,8,1,5,0,0,1
950,14,1,5,1,0,0
951,14,1,4,0,1,0
952,19,1,5,0,1,0
953,14,1,0,0,0,0
954,15,0,3,1,0,0
955,13,0,1,0,1,0
956,11,0,1,0,1,0
957,13,0,4,1,0,0
958,15,1,4,0,1,0
959,15,1,5,1,0,0
960,12,1,5,1,0,0
961,17,1,1,0,1,0
962,6,0,2,1,0,0
963,14,0,0,0,1,0
964,14,0,1,0,0,0
965,15,0,4,0,0,0
966,13,0,5,0,1,0
967,7,0,5,0,0,1
968,14,0,5,0,1,0
969,7,0,4,0,0,1
970,14,0,5,0,1,0
971,14,0,2,1,0,0
972,18,1,3,1,0,0
973,6,1,1,0,0,1
974,8,1,2,0,1,0
975,13,1,3,1,0,0
976,14,1,1,0,1,0
977,10,1,2,0,1,0
978,14,1,3,0,1,0
979,9,1,4,0,1,0
980,14,1,5,0,1,0
981,17,1,3,0,0,1
982,15,1,2,0,1,0
983,19,0,5,0,0,1
984,15,0,2,0,1,0
985,7,0,3,0,0,0
986,13,0,3,0,1,0
987,14,0,2,0,0,1
988,14,0,5,0,1,0
989,12,0,3,0,0,1
990,18,1,5,0,1,0
991,7,1,5,0,0,0
